START MPC DATA
Title
  No title given
File version
 1
 
START DENSITY DATA
Self-consistent charge density in reciprocal space
 -9.9997547726526148E-01  0.0000000000000000E+00  1.7916078348725681E+00
  9.9997547726526148E-01 -1.6062408028536206E+00 -8.0926141353548231E-01
 -9.9997547726526148E-01  1.6062408028536206E+00  8.0926141353548231E-01
  9.9997547726526148E-01  1.6062408028536206E+00 -8.0926141353548231E-01
 -9.9997547726526148E-01 -1.6062408028536206E+00  8.0926141353548231E-01
  1.9999509545305230E+00 -5.3541360095120683E-01 -1.4500319506533588E-01
 -1.9999509545305230E+00  5.3541360095120683E-01  1.4500319506533588E-01
  1.9999509545305230E+00  5.3541360095120683E-01 -1.4500319506533588E-01
 -1.9999509545305230E+00 -5.3541360095120683E-01  1.4500319506533588E-01
  1.9999509545305230E+00  0.0000000000000000E+00 -6.3617640573387879E-01
 -1.9999509545305230E+00  0.0000000000000000E+00  6.3617640573387879E-01
  1.9999509545305230E+00  5.3541360095120683E-01  3.4617001560320704E-01
  1.9999509545305230E+00 -5.3541360095120683E-01  3.4617001560320704E-01
 -1.9999509545305230E+00 -5.3541360095120683E-01 -3.4617001560320704E-01
 -1.9999509545305230E+00  5.3541360095120683E-01 -3.4617001560320704E-01
 -4.9998773863263074E-01  0.0000000000000000E+00 -2.0512353465749733E+00
  4.9998773863263074E-01  0.0000000000000000E+00  2.0512353465749733E+00
  9.9997547726526148E-01  5.3541360095120683E-01 -1.7916078348725681E+00
  9.9997547726526148E-01 -5.3541360095120683E-01 -1.7916078348725681E+00
 -9.9997547726526148E-01  5.3541360095120683E-01  1.7916078348725681E+00
 -9.9997547726526148E-01 -5.3541360095120683E-01  1.7916078348725681E+00
  0.0000000000000000E+00  2.1416544038048273E+00  0.0000000000000000E+00
  0.0000000000000000E+00 -2.1416544038048273E+00  0.0000000000000000E+00
  1.9999509545305230E+00  5.3541360095120683E-01 -6.3617640573387879E-01
  1.9999509545305230E+00 -5.3541360095120683E-01 -6.3617640573387879E-01
 -1.9999509545305230E+00  5.3541360095120683E-01  6.3617640573387879E-01
 -1.9999509545305230E+00 -5.3541360095120683E-01  6.3617640573387879E-01
 -1.9999509545305230E+00  0.0000000000000000E+00 -8.3734322627174995E-01
  1.9999509545305230E+00  0.0000000000000000E+00  8.3734322627174995E-01
